Application ID,Name,Email,Cohort,Submission Date
APP7126,User483,User483@example.com,Data Science 101,2024-11-24
APP7883,User995,User995@example.com,Python Basics,2024-11-09
APP3731,User848,User848@example.com,Data Science 101,2024-11-11
APP9038,User778,User778@example.com,Python Basics,2024-11-11
APP1111,User591,User591@example.com,Python Basics,2024-11-10
APP8500,User592,User592@example.com,Python Basics,2024-11-10
APP7277,User746,User746@example.com,Python Basics,2024-11-10
APP8441,User622,User622@example.com,Python Basics,2024-10-26
APP5445,User279,User279@example.com,AI Bootcamp,2024-11-23
APP8429,User341,User341@example.com,Python Basics,2024-10-30
APP8212,User900,User900@example.com,Python Basics,2024-11-21
APP4498,User348,User348@example.com,Data Science 101,2024-11-19
APP1846,User611,User611@example.com,Python Basics,2024-11-17
APP9941,User575,User575@example.com,AI Bootcamp,2024-11-23
APP5155,User239,User239@example.com,Data Science 101,2024-11-04
APP2876,User641,User641@example.com,AI Bootcamp,2024-10-28
APP9422,User146,User146@example.com,Data Science 101,2024-11-03
APP6155,User981,User981@example.com,Python Basics,2024-11-17
APP2896,User274,User274@example.com,Python Basics,2024-11-21
APP8037,User972,User972@example.com,AI Bootcamp,2024-11-20
APP5795,User562,User562@example.com,AI Bootcamp,2024-11-03
APP8228,User896,User896@example.com,Python Basics,2024-11-03
APP8417,User447,User447@example.com,Python Basics,2024-11-07
APP8773,User734,User734@example.com,Python Basics,2024-10-28
APP7707,User337,User337@example.com,Python Basics,2024-11-07
APP4319,User114,User114@example.com,Data Science 101,2024-10-28
APP5997,User528,User528@example.com,Python Basics,2024-11-23
APP8852,User427,User427@example.com,Python Basics,2024-10-30
APP7378,User725,User725@example.com,Data Science 101,2024-10-26
APP6229,User395,User395@example.com,AI Bootcamp,2024-11-17
APP2720,User902,User902@example.com,Data Science 101,2024-11-05
APP6149,User785,User785@example.com,Python Basics,2024-11-18
APP9234,User917,User917@example.com,Python Basics,2024-11-18
APP4714,User734,User734@example.com,Python Basics,2024-11-20
APP5369,User202,User202@example.com,Data Science 101,2024-11-23
APP9325,User682,User682@example.com,Python Basics,2024-11-07
APP3422,User812,User812@example.com,AI Bootcamp,2024-11-22
APP4506,User378,User378@example.com,Python Basics,2024-11-22
APP4092,User370,User370@example.com,Data Science 101,2024-11-15
APP9993,User964,User964@example.com,AI Bootcamp,2024-11-16
APP6136,User451,User451@example.com,AI Bootcamp,2024-11-04
APP7530,User996,User996@example.com,AI Bootcamp,2024-11-02
APP8672,User704,User704@example.com,Python Basics,2024-11-02
APP9428,User770,User770@example.com,AI Bootcamp,2024-11-06
APP1803,User785,User785@example.com,Python Basics,2024-10-28
APP5547,User316,User316@example.com,Python Basics,2024-10-27
APP6808,User484,User484@example.com,Data Science 101,2024-11-10
APP9432,User403,User403@example.com,Python Basics,2024-11-17
APP8181,User984,User984@example.com,Data Science 101,2024-10-29
APP4435,User236,User236@example.com,AI Bootcamp,2024-11-24
APP7447,User619,User619@example.com,Data Science 101,2024-11-22
APP8471,User728,User728@example.com,Data Science 101,2024-11-17
APP5926,User749,User749@example.com,Python Basics,2024-11-18
APP8073,User141,User141@example.com,Data Science 101,2024-11-22
APP2350,User678,User678@example.com,Python Basics,2024-11-13
APP3056,User615,User615@example.com,Data Science 101,2024-11-07
APP9620,User934,User934@example.com,Python Basics,2024-11-20
APP4835,User816,User816@example.com,Python Basics,2024-11-03
APP3850,User166,User166@example.com,AI Bootcamp,2024-11-06
APP7627,User740,User740@example.com,Python Basics,2024-11-05
APP3715,User184,User184@example.com,Python Basics,2024-11-20
APP5481,User688,User688@example.com,Python Basics,2024-11-02
APP1303,User537,User537@example.com,AI Bootcamp,2024-11-15
APP8961,User824,User824@example.com,AI Bootcamp,2024-11-24
APP1469,User986,User986@example.com,Data Science 101,2024-11-17
APP8639,User884,User884@example.com,Data Science 101,2024-11-07
APP9073,User938,User938@example.com,Python Basics,2024-11-13
APP4364,User780,User780@example.com,Python Basics,2024-11-23
APP2605,User179,User179@example.com,AI Bootcamp,2024-11-21
APP7328,User632,User632@example.com,AI Bootcamp,2024-11-06
APP4999,User161,User161@example.com,Python Basics,2024-11-01
APP3892,User714,User714@example.com,Data Science 101,2024-11-16
APP3218,User870,User870@example.com,Python Basics,2024-11-22
APP8272,User620,User620@example.com,Python Basics,2024-11-16
APP1859,User302,User302@example.com,AI Bootcamp,2024-11-20
APP8255,User193,User193@example.com,AI Bootcamp,2024-11-11
APP3267,User690,User690@example.com,AI Bootcamp,2024-11-13
APP4356,User901,User901@example.com,AI Bootcamp,2024-11-11
APP9280,User842,User842@example.com,Data Science 101,2024-11-24
APP5047,User719,User719@example.com,Python Basics,2024-11-18
APP6862,User505,User505@example.com,Data Science 101,2024-11-16
APP1696,User659,User659@example.com,AI Bootcamp,2024-11-24
APP6235,User611,User611@example.com,Python Basics,2024-10-27
APP7479,User126,User126@example.com,Python Basics,2024-11-05
APP5559,User859,User859@example.com,Data Science 101,2024-11-18
APP8113,User115,User115@example.com,Data Science 101,2024-10-31
APP9746,User296,User296@example.com,Data Science 101,2024-11-04
APP6386,User955,User955@example.com,Data Science 101,2024-11-07
APP3046,User973,User973@example.com,Python Basics,2024-11-07
APP3181,User910,User910@example.com,Data Science 101,2024-11-10
APP7640,User138,User138@example.com,Data Science 101,2024-11-09
APP5267,User123,User123@example.com,AI Bootcamp,2024-11-12
APP1814,User101,User101@example.com,AI Bootcamp,2024-11-13
APP1670,User152,User152@example.com,AI Bootcamp,2024-11-12
APP4529,User877,User877@example.com,Python Basics,2024-11-07
APP4969,User890,User890@example.com,Data Science 101,2024-11-17
APP6977,User760,User760@example.com,Data Science 101,2024-11-10
APP7203,User497,User497@example.com,AI Bootcamp,2024-11-13
APP6436,User977,User977@example.com,Python Basics,2024-11-06
APP3393,User215,User215@example.com,AI Bootcamp,2024-11-09
APP2908,User592,User592@example.com,Data Science 101,2024-11-08
APP4459,User493,User493@example.com,AI Bootcamp,2024-11-16
APP2017,User997,User997@example.com,Python Basics,2024-11-17
APP2126,User472,User472@example.com,Data Science 101,2024-11-17
APP4089,User633,User633@example.com,Data Science 101,2024-10-28
APP1942,User459,User459@example.com,Python Basics,2024-11-01
APP6368,User914,User914@example.com,Python Basics,2024-11-08
APP4405,User831,User831@example.com,Python Basics,2024-10-26
APP9979,User968,User968@example.com,AI Bootcamp,2024-11-02
APP8231,User519,User519@example.com,AI Bootcamp,2024-11-04
APP1530,User146,User146@example.com,Data Science 101,2024-11-08
APP3202,User617,User617@example.com,AI Bootcamp,2024-11-16
APP2871,User946,User946@example.com,Python Basics,2024-10-26
APP2124,User970,User970@example.com,AI Bootcamp,2024-11-02
APP4399,User629,User629@example.com,Python Basics,2024-11-06
APP4615,User561,User561@example.com,Python Basics,2024-11-05
APP7766,User754,User754@example.com,Python Basics,2024-11-02
APP9020,User134,User134@example.com,AI Bootcamp,2024-11-16
APP6530,User893,User893@example.com,AI Bootcamp,2024-11-16
APP2962,User734,User734@example.com,Data Science 101,2024-11-21
APP4313,User557,User557@example.com,AI Bootcamp,2024-11-07
APP7228,User688,User688@example.com,Python Basics,2024-11-04
APP8580,User694,User694@example.com,Python Basics,2024-10-30
APP3744,User799,User799@example.com,Data Science 101,2024-11-05
APP2014,User948,User948@example.com,Python Basics,2024-11-24
APP4846,User642,User642@example.com,Python Basics,2024-11-09
APP4313,User546,User546@example.com,AI Bootcamp,2024-11-23
APP4210,User182,User182@example.com,AI Bootcamp,2024-11-21
APP2918,User607,User607@example.com,Python Basics,2024-11-04
APP1094,User290,User290@example.com,Python Basics,2024-11-10
APP7564,User915,User915@example.com,AI Bootcamp,2024-10-30
APP8149,User939,User939@example.com,Data Science 101,2024-11-13
APP2648,User663,User663@example.com,Python Basics,2024-11-08
APP8425,User234,User234@example.com,Data Science 101,2024-11-18
APP6617,User347,User347@example.com,Python Basics,2024-11-22
APP9545,User816,User816@example.com,Python Basics,2024-11-21
APP8674,User175,User175@example.com,Data Science 101,2024-11-22
APP3294,User295,User295@example.com,Data Science 101,2024-11-14
APP9024,User882,User882@example.com,Data Science 101,2024-11-05
APP4467,User796,User796@example.com,AI Bootcamp,2024-11-17
APP1744,User453,User453@example.com,AI Bootcamp,2024-11-23
APP2316,User147,User147@example.com,Python Basics,2024-11-09
APP5772,User817,User817@example.com,AI Bootcamp,2024-11-12
APP9487,User526,User526@example.com,AI Bootcamp,2024-11-07
APP8958,User995,User995@example.com,Data Science 101,2024-10-27
APP3091,User982,User982@example.com,AI Bootcamp,2024-11-15
APP1244,User885,User885@example.com,Data Science 101,2024-11-17
APP5282,User989,User989@example.com,AI Bootcamp,2024-10-26
APP3683,User379,User379@example.com,Data Science 101,2024-10-28
APP4762,User521,User521@example.com,Python Basics,2024-11-24
APP8066,User889,User889@example.com,Data Science 101,2024-11-05
APP5850,User152,User152@example.com,AI Bootcamp,2024-10-28
APP5864,User130,User130@example.com,Data Science 101,2024-11-10
APP5662,User269,User269@example.com,Data Science 101,2024-11-22
APP5905,User356,User356@example.com,AI Bootcamp,2024-11-08
APP3331,User932,User932@example.com,AI Bootcamp,2024-10-26
APP5903,User143,User143@example.com,Data Science 101,2024-11-01
APP6823,User843,User843@example.com,Python Basics,2024-11-24
APP7214,User559,User559@example.com,Python Basics,2024-11-02
APP5339,User460,User460@example.com,AI Bootcamp,2024-11-14
APP3547,User558,User558@example.com,Data Science 101,2024-11-05
APP4131,User476,User476@example.com,Python Basics,2024-10-30
APP4388,User530,User530@example.com,Data Science 101,2024-11-08
APP5976,User799,User799@example.com,Python Basics,2024-11-21
APP3203,User615,User615@example.com,Python Basics,2024-11-21
APP4214,User695,User695@example.com,Python Basics,2024-11-15
APP8037,User233,User233@example.com,AI Bootcamp,2024-11-22
APP9201,User321,User321@example.com,AI Bootcamp,2024-11-20
APP9934,User301,User301@example.com,Data Science 101,2024-10-26
APP3488,User899,User899@example.com,Python Basics,2024-11-13
APP9924,User247,User247@example.com,AI Bootcamp,2024-11-21
APP6131,User542,User542@example.com,Data Science 101,2024-10-30
APP7878,User825,User825@example.com,AI Bootcamp,2024-11-17
APP7748,User907,User907@example.com,AI Bootcamp,2024-11-12
APP7918,User908,User908@example.com,Data Science 101,2024-11-02
APP4721,User984,User984@example.com,AI Bootcamp,2024-10-27
APP1690,User982,User982@example.com,Python Basics,2024-10-30
APP3322,User786,User786@example.com,Python Basics,2024-11-21
